Date,Amount,Description,Keyword,Merchant,Category,Exception
8/12/19,-21.03,HAMILTON GARDENS CAFE    HAMILTON ##1219          21.90 NZ DOLLAR,HamiltonGardensCafe,HamiltonGardensCafe,Restaurant,
7/12/19,-1.96,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
7/12/19,-65.3,SKYCITY THE FEDERAL DE   AUCKLAND ##1219          68.00 NZ DOLLAR,SkyCityHotelAuckland,SkyCityHotelAuckland,Accommodation,
7/12/19,-1.23,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
7/12/19,-41.05,SKYCITY THE FEDERAL DE   AUCKLAND ##1219          42.75 NZ DOLLAR,SkyCityHotelAuckland,SkyCityHotelAuckland,Accommodation,
7/12/19,-0.98,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
7/12/19,-32.65,Mudbrick Vineyard &      Restaurant  AUK ##1219          34.00 NZ DOLLAR,MudbrickVineyard,MudbrickVineyard,Restaurant,
7/12/19,-0.33,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
7/12/19,-10.97,THE MUDBRICK VINEYAR     AUCKLAND    AUK ## NZL MERCHANT,MudbrickVineyard,MudbrickVineyard,Restaurant,
7/12/19,-0.77,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
7/12/19,-25.72,COUNTDOWN AKL CENTRAL    AUCKLAND ##1219          26.78 NZ DOLLAR,CountDown,CountDown,Groceries,
7/12/19,-4.84,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
7/12/19,-161.34,HARBOUR INFORMATION      AUCKLAND ##1219         168.00 NZ DOLLAR,HarbourInformation,FerriesNewsealand,Leisure,
7/12/19,-5.04,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
7/12/19,-168.06,THE WAIHEKE BIKE SHO     WAIHEKE ISLA ##1219         175.00 NZ DOLLAR,TheWaihekeBikes,TheWaihekeBikes,Leisure,
6/12/19,-1.16,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
6/12/19,-38.77,ARI AUCKLAND LTD         AUCKLAND ## NZL MERCHANT,AriAuckland,AriAuckland,Leisure,
6/12/19,-1.9,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
6/12/19,-63.38,SOUL BAR & BISTRO        AUCKLAND ##1219          66.00 NZ DOLLAR,SoulBar&BistroAuckland,SoulBarAndBistroAuckland,Restaurant,
5/12/19,751.57,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
22/11/19,-8.24,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
22/11/19,-274.53,RENTALCARS.COM           441618366700GBR ## GBR MERCHANT,RentalCars,RentalCars,Car-Rental,
22/11/19,-12.9,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
20/11/19,-5,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
19/11/19,-73.47,PLINE PH 413 GEORGE S    SYDNEY,PriceLinePharmacy,PriceLinePharmacy,Medical-Medicine,
19/11/19,-80,TRANSPORTFORNSW OPAL     CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
19/11/19,-11.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
18/11/19,-150.87,BUPA HI PTYLTD           MELBOURNE,Bupa,Bupa,Medical-Insurance,
18/11/19,-5,BMJ FOODS PTY LTD        SYDNEY,BMJFoods,BMJFoods,Restaurant,
14/11/19,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
12/11/19,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
12/11/19,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
11/11/19,-50.22,SERVICE NSW              SYDNEY,NationalParksNSW,NationalParksNSW,Car-Parking,
11/11/19,-373.64,SERVICE NSW              SYDNEY,RMS-Rego,RMS-Rego,Car-Rego,
11/11/19,-525,ALLIANZ INSURE C1        SYDNEY      NSW,Allianz,Allianz,Car-Insurance,
9/11/19,-74.78,KELLYVILLE EGGS          KELLYVILLE  NSW,KellyvilleEggs,KellyvilleEggs,Groceries,
8/11/19,-10,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin,UrbanTastyFood,Restaurant,
7/11/19,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
5/11/19,-568.07,PAYPAL *AGLENERGYLI      4029357733  AUS,AGL,AGL,Energy,
5/11/19,483.59,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
4/11/19,-104.05,COLES EXPRESS 1639       BAULKHAM H  AUS,Coles,Coles,Groceries,
2/11/19,-54.99,FLOWER POWER PTY LTD     GLENHAVEN,FlowerPower,FlowerPower,House-Gardening,
30/10/19,-25,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
30/10/19,-833.22,AIR30101949_883201 MYH   MONZA       ITA ## ITA MERCHANT,MyHolidays,MyHolidays,Flight,
30/10/19,-10,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin,UrbanTastyFood,Restaurant,
28/10/19,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
27/10/19,-146.91,DEPARTMENT OF HOME AFF   SOUTHPORT,DEPARTMENTOFHOME,ImmigrationAustralia,Visa,
27/10/19,-146.91,DEPARTMENT OF HOME AFF   SOUTHPORT,DEPARTMENTOFHOME,ImmigrationAustralia,Visa,
21/10/19,-9.5,LANTERN XPRESS           SYDNEY      NSW,LANTERNXPRESS,LANTERN,Restaurant,
20/10/19,-16.9,JASJOSH GROUP PTY LT     TUGGERAH    NSW,JASJOSHGROUP,JASJOSH,Restaurant,
18/10/19,-85.07,CALTEX WYONG PETROL NO   WYONG,Caltex,Caltex,Car-Fuel,
16/10/19,-8.95,SUBWAY PADSTOW           PADSTOW     NSW,Subway,Subway,Restaurant,
14/10/19,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
4/10/19,1998.11,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
24/9/19,-45,KIAN BREAD PTY LTD       BAULKHAM HILNSW,KianBread,KianBread,Groceries,
24/9/19,-94.99,COLES EXPRESS 1639       BAULKHAM H  AUS,Coles,Coles,Groceries,
24/9/19,-12.9,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
23/9/19,-184,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
7/11/20,-40,KENTHURST GROUP PTY      ANNANGROVE  NSW,SydneyPlantMarket,SydneyPlantMarket,House-Gardening,
22/9/19,-31.81,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
20/9/19,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
18/9/19,-68.39,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
13/9/19,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
5/9/19,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
3/9/19,-562.37,AAMI CTP                 BRISBANE    QLD,Aami,Aami,Car-Insurance,
3/9/19,-373.64,SERVICE NSW              SYDNEY,RMS-Rego,RMS-Rego,Car-Rego,
3/9/19,555.38,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
2/9/19,-40.18,RMS ETOLL PH 131865      PARRAMATTA,RMS-Etoll,RMS-Etoll,Car-Tolls,
2/9/19,-16.2,WILSON PARKING SYD235    SYDNEY      NSW,WilsonParking,WilsonParking,Car-Parking,
1/9/19,-51.5,KIAN BREAD PTY LTD       BAULKHAM HILNSW,KianBread,KianBread,Groceries,
1/9/19,-5.56,DOYLESPYRMONT            Pyrmont     NSW,SydneyFishMarket,SydneyFishMarket,Restaurant,
1/9/19,-37.31,DOYLESPYRMONT            Pyrmont     NSW,SydneyFishMarket,SydneyFishMarket,Restaurant,
1/9/19,-66.22,DOYLESPYRMONT            Pyrmont     NSW,SydneyFishMarket,SydneyFishMarket,Restaurant,
1/9/19,-9.08,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
28/8/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
28/8/19,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
26/8/19,-13.13,THE SAMBAL               Sydney      NSW,THESAMBAL   ,Sambal,Restaurant,
26/8/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
12/3/20,-205,SYDNEYS PLANT MARKET ANNANGROVE NS AUS Card xx0118 Value Date: 07/03/2020,SydneyPlantMarket,SydneyPlantMarket,House-Gardening,
24/8/19,-25.7,BUTCHER IKHWAN AUSTR     MERRYLANDS  NSW,BUTCHERIKHWAN,Ikhvan Butchery,Groceries,
24/8/19,-73,RYYAN SUPERMARKET PT     MERRYLANDS  NSW,RyyanSupermarket,RyyanSupermarket,Groceries,
24/8/19,-37.55,SAFFRON RESTAURANT P     MERRYLANDS,SAFFRONRESTAURANT,Saffron,Restaurant,
23/8/19,-10.9,UMAI SUSHI               SYDNEY      NSW,UMAISUSHI,UmaiSushi,Restaurant,
22/8/19,-20,BLACK DOG INSTITUTE      RANDWICK    NSW,BLACKDOGINSTITUTE,BlackDogInstitute,Charity,
21/8/19,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
20/8/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
20/8/19,-42.14,AUST FEDERAL POLICE      SYDNEY      NSW,FEDERALPOLICE,AustralianPolice,Police,
20/8/19,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
19/8/19,-9.5,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin,UrbanTastyFood,Restaurant,
19/8/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
18/8/19,-37.85,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
17/8/19,-28.78,PHARMACY FOCUS KELLY     KELLYVILLE  NSW,Pharmacy-Focus,Pharmacy-Focus,Medical-Medicine,
17/8/19,-333.73,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
17/8/19,-14.67,ALDI STORES - NORTH KE   KELLYVILLE,Aldi,Aldi,Groceries,
16/8/19,-9.95,SUBWAY MARKET STREET     SYDNEY      NSW,Subway,Subway,Restaurant,
16/8/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
13/8/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
13/8/19,-9.95,SINDBAD KEBAB            SYDNEY      NSW,SINDBADKEBAB,SindbadKebab,Restaurant,
12/8/19,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
10/8/19,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
9/8/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
9/8/19,-12.9,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
8/8/19,-100.11,ZAMZAM MARKET            AUBURN      NSW,ZamZamSupermarket,ZamZamSupermarket,Groceries,
7/8/19,-84.49,ENHANCE GRANVILLE        GRANVILLE   NSW,ENHANCEGRANVILLE,EnhanceGanville,Car-Fuel,
7/8/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
6/8/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
5/8/19,-15.05,GRAND TOWERS GRP  PL     SYDNEY,GRANDTOWERSGRPPL,GrandTowers,Restaurant,
5/8/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
3/8/19,-40.1,WOOLWORTHS W1160         GORDON,Woolworths,Woolworths,Groceries,
31/7/19,673.54,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
14/7/19,-105.05,COLES EXPRESS 1639       BAULKHAM H  AUS,Coles,Coles,Groceries,
14/7/19,-52.95,Coogee Ground            Coogee      NSW,CoogeeGround,CoogeeGround,Restaurant,
14/7/19,-5.5,RANDWICK COUNCIL         RANDWICK    AUS,RANDWICKCOUNCIL,Randwick Council,Car-Parking,
13/7/19,-50.65,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
13/7/19,-29.98,ADAIRS - CASTLE HILL     CASTLE HILL,ADAIRS,ADAIRS,Furniture,
13/7/19,-9.9,PET CARE 2000 WAREHOUS   CASTLE HILL,PETCAREWAREHOUS ,PetCareWarehouse,Pets,
12/7/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
12/7/19,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
9/7/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
9/7/19,-12,A LA TURKO (RETAILER     SYDNEY      NSW,ALATURKO,ALaTurko,Restaurant,
9/7/19,264.25,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
8/7/19,-11.9,Crafty Cuts SCP          Sydney      NSW,CraftyCuts,CraftyCuts,Restaurant,
8/7/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
6/7/19,-102.5,RYYAN SUPERMARKET PT     MERRYLANDS  NSW,RyyanSupermarket,RyyanSupermarket,Groceries,
6/7/19,-95.5,Doug Smith Appliances    GRANVILLE   NSW,DougSmithAppliances,DougSmithAppliances,House-Appliances,
6/7/19,-79.99,COLES EXPRESS 1572       NORTHMEAD   AUS,Coles,Coles,Groceries,
6/7/19,-55.65,NASSER HAMZE             MERRYLANDS,HamzeBros,HamzeBros,Groceries,
5/7/19,-10,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin(UrbanTastyFood),Tomtin(UrbanTastyFood),Restaurant,
5/7/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
5/7/19,-4,STARBUCKS TRANSPORT      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
3/7/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
3/7/19,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
2/7/19,-4.7,SQ *KAHII                Sydney      AUS,KAHII,KAHII,Restaurant,
1/7/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
1/7/19,-80,TRANSPORTFORNSW OPAL     CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
1/7/19,-80,TRANSPORTFORNSW OPAL     CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
30/6/19,-84,GRILLD PTY LTD           CHATSWOOD,GRILLDPTYLTD,Grilld,Restaurant,
8/6/19,-49,MYRP.COM.AU PTY LTD      EAGLE FARM,AGL,AGL,Energy,
4/6/19,7650.31,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
14/5/19,-19.24,WILSON PARKING SYD235    SYDNEY      NSW,WilsonParking,WilsonParking,Car-Parking,
13/5/19,-8.48,SMP*Caffe Amici          SYDNEY      AUS,CaffeAmici,CaffeAmici,Restaurant,
13/5/19,-10,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin(UrbanTastyFood),Tomtin(UrbanTastyFood),Restaurant,
12/5/19,-40.18,RMS ETOLL PH 131865      PARRAMATTA,RMS-Etoll,RMS-Etoll,Car-Tolls,
12/5/19,-31.88,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
12/5/19,-50,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
12/5/19,-60.59,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
11/5/19,-137.35,ZAMZAM MARKET            AUBURN      NSW,ZamZamSupermarket,ZamZamSupermarket,Groceries,
11/5/19,-43,Belles Take2             Barangaroo  NSW,BellesTake,BellesTake,Restaurant,
10/5/19,-4,ALANA ALANA CAFE PL      SYDNEY      NSW,AlanaCafe,AlanaCafe,Restaurant,
10/5/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
9/5/19,-9,LANTERN XPRESS           SYDNEY      NSW,LANTERNXPRESS,LANTERN,Restaurant,
9/5/19,-7,ALANA ALANA CAFE PL      SYDNEY      NSW,AlanaCafe,AlanaCafe,Restaurant,
9/5/19,-424.2,PAYPAL *DIBP             4029357733  AUS,Paypal,Paypal,Paypal,
8/5/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
8/5/19,-9,HONG KONG FLAVOURS       SYDNEY      NSW,HONGKONGFLAVOURS,HongKongFlavours,Restaurant,
6/5/19,-239.19,PAYPAL *AGLENERGYLI      4029357733  AUS,AGL,AGL,Energy,
6/5/19,5032.2,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
6/5/19,-12,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
4/5/19,-59.35,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
4/5/19,-203.4,BUNNINGS 413000          DURAL,Bunnings,Bunnings,House-Tools,
3/5/19,-15,ALANA ALANA CAFE PL      SYDNEY      NSW,AlanaCafe,AlanaCafe,Restaurant,
3/5/19,-9,ALANA ALANA CAFE PL      SYDNEY      NSW,AlanaCafe,AlanaCafe,Restaurant,
2/5/19,-10,UMAI SUSHI               SYDNEY      NSW,UmaiSushi,UmaiSushi,Restaurant,
2/5/19,-9.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
1/5/19,-10,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin(UrbanTastyFood),Tomtin(UrbanTastyFood),Restaurant,
1/5/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
30/4/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
30/4/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
29/4/19,-4.5,ALANA ALANA CAFE PL      SYDNEY      NSW,AlanaCafe,AlanaCafe,Restaurant,
29/4/19,-9.5,LIME ESPRESSO SANDWI     SYDNEY      NSW,Lime,Lime,Restaurant,
29/4/19,-80,TRANSPORTFORNSW OPAL     CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
3/10/19,-69,SYDNEYS PLANT MARKET ANNANGROVE NS AUS Card xx6201 Value Date: 28/09/2019,SydneyPlantMarket,SydneyPlantMarket,House-Gardening,
28/4/19,-50,KASART HAIR              LINDFIELD   NSW,KasartHair,KasartHair,Beauty,
27/4/19,-529,FLICK ANTICIMEX          HOMEBUSH,Flick,Flick,House-Pesticide,
27/4/19,-34.91,IKEA MARSDEN PARK        MARSDEN PARKNSW,Ikea,Ikea,Furniture,
27/4/19,15,IKEA MARSDEN PARK        MARSDEN PARKNSW,Ikea,Ikea,Furniture,
26/4/19,-4,ALANA ALANA CAFE PL      SYDNEY      NSW,AlanaCafe,AlanaCafe,Restaurant,
24/4/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
23/4/19,-4764.09,HUNTER DOUGLAS LTD       RYDALMERE,HUNTERDOUGLAS,HunterDouglas,Furniture,
23/4/19,-72,PAYPAL *BRGEXPERIEN      4029357733  AUS,Paypal,Paypal,Paypal,
23/4/19,-11.9,COCO RICO CAFE           SYDNEY      NSW,CocoRicoCafe,CocoRicoCafe,Restaurant,
22/9/19,-23,SYDNEYS PLANT MARKET     ANNANGROVE  NSW,SydneyPlantMarket,SydneyPlantMarket,House-Gardening,
19/4/19,-15,MILAD SUPRMRKT PL        MERRYLANDS  NSW,MILADSUPRMRKT,MiladSupermarket,Groceries,
18/4/19,-9.5,LIME ESPRESSO SANDWI     SYDNEY      NSW,Lime,Lime,Restaurant,
17/4/19,-351.35,PAYPAL *AGLENERGYLI      4029357733  AUS,AGL,AGL,Energy,
17/4/19,-12,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
16/4/19,-9.5,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin(UrbanTastyFood),Tomtin(UrbanTastyFood),Restaurant,
15/4/19,-12,MUMBAI EXPRESS CENTR     SYDNEY      NSW,MUMBAIEXPRESSCENTR,MumbaiExpress,Post,
14/4/19,-11,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
12/4/19,-9.95,SINDBAD KEBAB            SYDNEY      NSW,SindbadKebab,SindbadKebab,Restaurant,
10/4/19,-16,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin(UrbanTastyFood),Tomtin(UrbanTastyFood),Restaurant,
10/4/19,-7.6,MBGP P/L                 SYDNEY      NSW,MBGP,Delisse,Restaurant,
9/4/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
9/4/19,-80,TRANSPORT FOR NSW        CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
9/4/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
8/4/19,-8,SUBWAY MARKET STREET     SYDNEY      NSW,Subway,Subway,Restaurant,
7/4/19,-402.93,IKEA MARSDEN PARK        MARSDEN PARKNSW,Ikea,Ikea,Furniture,
5/4/19,-9.5,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin(UrbanTastyFood),Tomtin(UrbanTastyFood),Restaurant,
4/4/19,-13.5,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
3/4/19,-17.5,POTTERY GREEN BAKERS     LANE COVE   NSW,POTTERYGREENBAKERS,PotteryGreenBakers,Groceries,
3/4/19,-11,H Z FAST FOOD CHAIN      SYDNEY      NSW,HZFASTFOODCHAIN,FastFoodChain,Restaurant,
3/4/19,-64.39,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
2/4/19,-9.95,SUBWAY MARKET STREET     SYDNEY      NSW,Subway,Subway,Restaurant,
1/4/19,-10,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin(UrbanTastyFood),Tomtin(UrbanTastyFood),Restaurant,
1/4/19,7919.65,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
31/3/19,-1061.81,IKEA MARSDEN PARK        MARSDEN PARKNSW,Ikea,Ikea,Furniture,
31/3/19,-34.9,IKEA MARSDEN PARK        MARSDEN PARKNSW,Ikea,Ikea,Furniture,
30/3/19,-20,THE CHOOK NORTH KELL     KELLYVILLE  NSW,TheChook,TheChook,Restaurant,
30/3/19,-3,THE CHOOK NORTH KELL     KELLYVILLE  NSW,TheChook,TheChook,Restaurant,
30/3/19,-67.5,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
29/3/19,-7.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
29/3/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
28/3/19,-13.5,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
27/3/19,-11.45,NANDOS 200029            SYDNEY      NSW,Nandos,Nandos,Restaurant,
26/3/19,-12,MUMBAI EXPRESS CENTR     SYDNEY      NSW,MUMBAIEXPRESSCENTR,MumbaiExpress,Post,
25/3/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
21/3/19,-4.8,ROMEOS FOODHALL          ST LEONARDS,RomeosFoodHall,RomeosFoodHall,Restaurant,
20/3/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
19/3/19,-40.18,RMS ETOLL PH 131865      PARRAMATTA,RMS-Etoll,RMS-Etoll,Car-Tolls,
19/3/19,-11.5,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
18/3/19,-80,TRANSPORT FOR NSW        CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
18/3/19,-108.73,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
18/3/19,-3.62,BUNNINGS 339000    QPS   CASTLE HILL,Bunnings,Bunnings,House-Tools,
17/3/19,-189.8,VICTORIAS BASEMENT       AUBURN      NSW,VICTORIASBASEMENT,VictoriasBasement,Furniture,
17/3/19,-100,COLES EXPRESS 1589       WEST RYDE   AUS,Coles,Coles,Groceries,
17/3/19,-2.28,BUNNINGS 339000    QPS   CASTLE HILL,Bunnings,Bunnings,House-Tools,
17/3/19,-36.76,ALDI STORES - NORTH KE   KELLYVILLE,Aldi,Aldi,Groceries,
14/3/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
14/3/19,-15.5,TOMTIN PTY LTD           SYDNEY,Tomtin(UrbanTastyFood),Tomtin(UrbanTastyFood),Restaurant,
13/3/19,-8,SUBWAY MARKET STREET     SYDNEY      NSW,Subway,Subway,Restaurant,
13/3/19,-2510,DOMAYNE BEDDING NORT     NORTH RYDE  NSW,Domayne,Domayne,Furniture,
12/3/19,-9.5,TOMTIN PTY LTD           SYDNEY,Tomtin(UrbanTastyFood),Tomtin(UrbanTastyFood),Restaurant,
11/3/19,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
10/3/19,-25,KASART HAIR              LINDFIELD   NSW,KasartHair,KasartHair,Beauty,
9/3/19,-2359,HARVEY NORMAN FURNIT     CASTLE HILL NSW,HarveyNorman,HarveyNorman,Furniture,
9/3/19,-3569,HARVEY NORMAN AV/IT      CASTLE HILL NSW,HarveyNorman,HarveyNorman,Furniture,
9/3/19,-186,HARVEY NORMAN AV/IT      CASTLE HILL NSW,HarveyNorman,HarveyNorman,Furniture,
9/3/19,-361,HARVEY NORMAN AV/IT      CASTLE HILL NSW,HarveyNorman,HarveyNorman,Furniture,
